,Judul,score
02.00113,The art of Computer Programming : Fundamental,1.0
02.00227,Career Paths: Environmental Science,1.0
02.00241,UML In a Nutshell : a desktop quick reference,1.0
02.00261,The American family,1.0
02.00265,Human-Computer Interaction,2.0
02.00283,RHCE: Red Hat Certified Engineer Linux: Study,0.0
02.00284,Re-Code Your Change DNS : Membebaskan Belenggu-Belenggu Untuk Meraih,1.0
02.00292,Teori Bahasa dan Otomata,1.0
02.00293,Cambridge Preparation for the TOEFL Test,1.0
02.00303,Don't Sweat the small stuff in Love,2.0
02.00304,Perahu Kertas,1.0
02.00314,Etika Penulisan karya ilmiah,1.0
02.00323,"Adolf Hitler: his family, childhood and yout",1.0
02.00325,New International Business English,1.0
02.00327,The Shack : Tragedi yang Menyingkap Misteri t,1.0
02.00328,Designing the user interface: strategies for effective human computer interaction,1.0
02.00330,Pulang,2.0
02.00334,Siaga dan sukses jelang ujian nasional fisika SMA/MA,2.0
02.00342,The Fifth Discipline: The Art & Practice of The Learning Organisation,1.0
02.00343,Metafor Horas,1.0
02.00346,Genetic Programming: on the programming of computers by means of natural selection,1.0
02.00355,Longman preparation course for the TOEFL test: The paper test,2.0
02.00356,An Introduction to ordinary differential equations,1.0
02.00368,Agility: Bukan Singa yang Mengembik,1.0
02.00369,The 5 essential people skills: Sukses menjalin hubungan dengan orang lain dalam segala hal,1.0
02.00372,Expectations: language and reading skills for,1.0
02.00375,The Mortal Instrumen city of Ashes,2.0
02.00379,Longman preparation course for the TOEFL test: The paper test,2.0
02.00382,Boy meets girl: Saat cowok ketemu cewek menjalin hubungan lawan jenis,1.0
02.00383,The purpose driven life,1.0
02.00384,Negeri para bedebah,1.0
02.00391,Rekayasa Perangkat Lunak : Pendekatan praktis,1.0
02.00393,Mother Teresa: Melayani yang termiskin dari yang miskin,1.0
02.00398,Numerical Analysis,1.0
02.00400,Algoritma dan pemrograman dalam bahasa pascal dan C buku 1,1.0
02.00401,Software quality assurance,1.0
02.00402,Practice Exercises for the TOEFL,2.0
02.00404,Complete Electronics: Self Teaching Guide with projects,2.0
08.00999,Longman preparation course for the TOEFL test: The paper test,2.0
11113001,Basis Data,1.0
11113013,Who Will Cry When You Die: Jiwai hidupmu sehingga saat kau mati dunia menangis sementara kau berbahagia,2.0
11113032,Data Mining: Concepts and Techniques,1.0
11113081,Hacking: The Art of Exploitation,1.0
11315001,Discrete Mathematics and Its Applications,1.0
11315006,Discrete Mathematics and Its Applications,1.0
11315009,Organisasi dan arsitektur komputer: perancang,1.0
